Layer,Area,Name,Kind,Files,Notes
HTML,Login Modal,loginModal,id,office.html,Wrapper of login modal
HTML,Login Modal,passwordInput,id,office.html,Password field in modal
HTML,Login Modal,togglePassword,id,office.html,Eye button to show/hide password
HTML,Login Modal,toggle-password,class,adminStyles.css / office.css,Styling class for eye button
HTML,Login Modal,password-wrapper,class,adminStyles.css / office.css,Wrapper for input + eye
HTML,Login Modal,loginBtn,id,office.html,Submit button
HTML,Login Modal,cancelBtn,id,office.html,Cancel button
HTML,Login Modal,loginError,id,office.html,Error message area
HTML,Admin,admin-app,class,office.html,Root admin app container
HTML,Admin,admin-toolbar,class,office.html,Top toolbar
HTML,Admin,admin-keys,class,office.html,Key input block
HTML,Admin,admKey,id,office.html,API key input
HTML,Admin,btnSaveKey,id,office.html,Save key button
HTML,Admin,btnRebuild,id,office.html,Rebuild JSON button
HTML,Admin,btnRefresh,id,office.html,Refresh listing button
HTML,Admin,admCrumbs,id,office.html,Breadcrumbs container
HTML,Admin,admin-belt,class,office.html,Toolbar + crumbs row
HTML,Admin,admin-ops,class,office.html,Operations panel
HTML,Admin,row,class,office.html,Generic row
HTML,Admin,mkdirName,id,office.html,New folder name input
HTML,Admin,btnMkdir,id,office.html,Create folder button
HTML,Admin,fileInput,id,office.html,File select input
HTML,Admin,btnUpload,id,office.html,Upload button
HTML,Admin,renameType,id,office.html,Rename target type select
HTML,Admin,renameOld,id,office.html,Old name input
HTML,Admin,renameNew,id,office.html,New name input
HTML,Admin,btnRename,id,office.html,Rename button
HTML,Admin,deleteType,id,office.html,Delete target type select
HTML,Admin,deleteName,id,office.html,Delete target name input
HTML,Admin,btnDelete,id,office.html,Delete button
HTML,Admin,logoutBtn,id,office.html,Logout button (appears twice in markup)
HTML,Admin,admin-body,class,office.html,Main content (sidebar + preview)
HTML,Admin,admin-explorer,class,office.html,Sidebar explorer
HTML,Admin,admin-listing,id,office.html,Listing container
HTML,Admin,admin-preview,id,office.html,Preview container
HTML,Admin,preview-empty,class,adminStyles.css,Placeholder text class
HTML,Admin,admin-card,class,adminStyles.css,Card for file/folder item
HTML,Admin,thumb,class,adminStyles.css,Card thumbnail
HTML,Admin,meta,class,adminStyles.css,Card meta line
HTML,Admin,badge,class,adminStyles.css,Chip indicating type
HTML,Shared,admin,class,adminStyles.css,Outline button link (Staff only)
HTML,Header,hero-page,class,all pages,Body class used for page styling
HTML,Header,menu-main-horizontal,class,header-portfolio.css,Main nav list
HTML,Header,menu-sticky-horizontal,class,header-portfolio.css,Sticky header nav
HTML,Header,nav-toggle,class,header-portfolio.css,Burger button
JS,Admin,MEDIA_URL,const,admin.js,Base URL for media (/uploads)
JS,Admin,API,object,admin.js,API base and headers()
JS,Admin,els,object,admin.js,All cached DOM elements
JS,Admin,MEDIA_BASE,const,admin.js,Currently unused
JS,Admin,cwd,let,admin.js,Current path segments (array)
JS,Admin,lastListing,let,admin.js,Last received listing
JS,Admin,joinPath,fn,admin.js,Join path segments with /
JS,Admin,enc,fn,admin.js,encodeURIComponent helper
JS,Admin,isImage,fn,admin.js,Check image extensions
JS,Admin,isVideo,fn,admin.js,Check video extensions
JS,Admin,setKeyFromStorage,fn,admin.js,Prefill API key input from localStorage
JS,Admin,buildCrumbs,fn,admin.js,Render breadcrumbs
JS,Admin,apiGet,async fn,admin.js,GET /api/tree
JS,Admin,loadList,async fn,admin.js,Load listing and render cards
JS,Admin,previewFile,fn,admin.js,Render preview pane
JS,Admin,doRebuild,async fn,admin.js,POST /api/rebuild
JS,Admin,doMkdir,async fn,admin.js,POST /api/mkdir
JS,Admin,doUpload,async fn,admin.js,POST /api/upload
JS,Admin,doRename,async fn,admin.js,POST /api/rename
JS,Admin,doDelete,async fn,admin.js,POST /api/delete
JS,Login Modal,openLoginModal,fn,admin.js,Show login modal
JS,Login Modal,closeLoginModal,fn,admin.js,Hide login modal
JS,Login Modal,doLogin,async fn,admin.js,Validate key + save to localStorage
JS,Login Modal,togglePasswordBtn,const,admin.js,Eye button element
CSS,Admin,ok,class,adminStyles.css,Primary button
CSS,Admin,danger,class,adminStyles.css,Danger button
CSS,Admin,muted,class,adminStyles.css,Muted text
CSS,Login Modal,modal,class,adminStyles.css,Modal backdrop
CSS,Login Modal,modal-content,class,adminStyles.css,Modal card
